Full name,,Birth date,Place of birth,Death date,Place of death,Nationality,Title,Creation date,Medium description,Dimensions (HxWxD in inches),Acquisition date,ID number,Department
Sam Kharkiv,,9-Sep-40,Kiev,13-Jan-06,Chicago,Ukrainian,The Ball,25-Sep-90,Copper,5x6x6,13-Jan-08,TX123,Sculpture
Nina Bell,,1/1/2000,Pittsburh,NA,NA,American,Jumping Rope,10/1/2015,Crayon,8x10x0.5,11/11/2015,GG802,Painting
Sam Kharkiv,,9-Sep-40,Kiev,13-Jan-06,Chicago,Ukrainian,The String,16-Jun-60,Copper,5x1x10,13-Jan-09,TX3224,Sculpture
Sam Kharkiv,,9-Sep-40,"Kiev, Ukraine",13-Jan-06,Chicago,Ukrainian,Super,1-Jan-80,Copper,50x50x3,13-Nov-09,LN8902,Architecture
Nina Bell,,1/1/2000,"Pittsburgh, PA, US",NA,NA,American,Funny,10/11/2015,Oil,8x10x0.5,11/11/2015,GG804,Painting
Hong Wu,,11/12/1977,Singapore,NA,NA,Singaporean,Tall,7/7/1988,Oil,Height 20 Width 20,11/11/2005,XV324,Painting
Hong Wu,,11/12/1977,Singapore,NA,NA,Singaporean,Tall Big,8/7/2000,Oil,20x200x3,10-Nov,XV325,Painting
Hong Wu,,11/12/1977,Singapore,NA,NA,Singaporean,Tall Small,1998,Plastic,15x15x15,12/11/2006,XV326,Sculpture
Ladybug,,1960,"Monterey, CA, United States",1993,Switzerland,United States,My Big Red Heart,1993,Rubber,"Height 200, Width 10",2015,NA,Architecture
Ladybug,,1960,"Monterey, CA, United States",1993,Switzerland,United States,My Big Red Car,1992,Rubber,"Height 60, Width 60, Depth 10",2014,NA,Architecture
Sandra B,,5/20/1905,India,1985,"Mumbai, India",Indian,no 1,1935,Cement,80x90x10,2000,N199,Sculpture
Sandra B,,5/20/1905,India,Jan-85,"Mumbai, India",Indian,no 2,Jul-36,Cement,80x90x10,2000,N299,Sculpture
Sandra B,,5/20/1905,India,Jan-85,"Mumbai, India",Indian,no 3,Jul-36,Cement,80x90x10,2001,N309,Sculpture
Rita,,6/10/1915,India,Jan-75,"Mumbai, India",Indian,no 4,4/28/1955,Cement,90x10x10,2001,N419,Sculpture
Rita,,6/10/1915,India,Jan-75,"Mumbai, India",Indian,no 5,4/28/1975,Cement,10x10x10,2000,N569,Sculpture
Rita,,6/10/1915,India,Jan-75,"Mumbai, India",Indian,no 6,6/28/1956,Oil,10x10x10,2000,N199,Painting
Rita,,6/10/1915,India,Jan-75,"Mumbai, India",Indian,no 7,6/1/1957,Oil,5x5x5,2000,N199,Painting
